Index	Label
0	16
1	14
2	42
3	22
4	34
5	34
6	51
7	9
8	12
9	26
10	3
11	27
12	51
13	45
14	27
15	26
16	3
17	49
18	13
19	16
20	26
21	52
22	51
23	0
24	32
25	20
26	23
27	19
28	41
29	44
30	8
31	24
32	49
33	42
34	4
35	19
36	13
37	40
38	8
39	26
40	52
41	37
42	31
43	52
44	46
45	14
46	36
47	42
48	18
49	0
50	18
51	5
52	31
53	21
54	9
55	20
56	26
57	15
58	24
59	20
60	13
61	11
62	24
63	22
64	32
65	2
66	47
67	32
68	31
69	0
70	21
71	36
72	18
73	45
74	45
75	7
76	51
77	21
78	32
79	39
80	26
81	40
82	23
83	42
84	5
85	33
86	43
87	26
88	6
89	16
90	48
91	51
92	28
93	24
94	5
95	11
96	28
97	50
98	48
99	40
100	19
101	42
102	44
103	21
104	35
105	48
106	12
107	28
108	0
109	32
110	48
111	35
112	12
113	14
114	33
115	44
116	30
117	38
118	50
119	5
120	50
121	32
122	31
123	23
124	48
125	51
126	40
127	16
128	23
129	5
130	4
131	46
132	31
133	2
134	19
135	22
136	23
137	21
138	28
139	9
140	21
141	25
142	0
143	44
144	43
145	24
146	24
147	39
148	24
149	6
150	36
151	18
152	52
153	22
154	23
155	44
156	7
157	44
158	34
159	1
160	33
161	25
162	39
163	23
164	47
165	4
166	42
167	46
168	27
169	40
170	51
171	33
172	48
173	44
174	38
175	41
176	37
177	13
178	17
179	0
180	41
181	9
182	22
183	42
184	27
185	16
186	52
187	47
188	23
189	23
190	47
191	11
192	44
193	14
194	10
195	20
196	10
197	44
198	4
199	38
200	42
201	18
202	41
203	16
204	35
205	43
206	42
207	21
208	33
209	41
210	52
211	19
212	23
213	1
214	34
215	35
216	30
217	14
218	9
219	38
220	1
221	5
222	1
223	3
224	37
225	9
226	4
227	19
228	30
229	46
230	46
231	37
232	19
233	6
234	51
235	40
236	15
237	40
238	40
239	7
240	20
241	14
242	10
243	22
244	24
245	25
246	17
247	14
248	50
249	5
250	31
251	9
252	16
253	41
254	3
255	21
256	45
257	26
258	9
259	7
260	23
261	41
262	14
263	40
264	22
265	43
266	34
267	32
268	40
269	0
270	28
271	29
272	34
273	1
274	4
275	9
276	35
277	32
278	11
279	45
280	23
281	12
282	8
283	20
284	46
285	14
286	19
287	11
288	24
289	15
290	29
291	1
292	50
293	31
294	10
295	29
296	2
297	40
298	33
299	23
300	45
301	27
302	31
303	21
304	8
305	13
306	50
307	13
308	13
309	32
310	43
311	40
312	22
313	48
314	44
315	27
316	30
317	30
318	36
319	34
320	14
321	43
322	39
323	25
324	7
325	25
326	12
327	36
328	45
329	29
330	40
331	28
332	33
333	11
334	6
335	32
336	20
337	32
338	24
339	14
340	51
341	9
342	21
343	38
344	48
345	42
346	42
347	34
348	7
349	22
350	20
351	12
352	29
353	4
354	37
355	15
356	22
357	49
358	49
359	52
360	44
361	3
362	5
363	52
364	27
365	52
366	3
367	30
368	31
369	22
370	12
371	33
372	51
373	11
374	25
375	16
376	45
377	39
378	28
379	31
380	42
381	15
382	49
383	5
384	40
385	8
386	5
387	31
388	28
389	48
390	7
391	5
392	43
393	17
394	44
395	8
396	35
397	48
398	47
399	52
400	17
401	8
402	5
403	48
404	40
405	30
406	43
407	17
408	45
